greek,russian,english,example,category
ο κόπος,труд / усилие,effort,"Ο κόπος χρόνων αποδίδει καρπούς, σύμφωνα με τα στοιχεία της έρευνας.",12 Dec
μετρημένος,"сдержанный, умеренный",measured,Ο μετρημένος τόνος του πρωθυπουργού εξέπληξε τους πολιτικούς σχολιαστές.,Γ2 exam
παθητικός,пассивный,passive,Ο παθητικός ρόλος της Ευρώπης στην κρίση δέχθηκε σφοδρή κριτική από αναλυτές.,14 Jan
παθητικότητα,пассивность,passiveness,Η παθητικότητα των θεσμών ενθαρρύνει τη διαφθορά και την αδιαφάνεια.,14 Jan
παν το μέτρον άριστον,всё хорошо в меру,everything in moderation,"Παν το μέτρον άριστον, υπενθύμισε ο υπουργός μιλώντας για τα μέτρα λιτότητας.",30 May
παρουσία,присутствие,presence,Η ελληνική παρουσία στη διεθνή σκηνή ενισχύθηκε μέσω ενεργού πολιτιστικής διπλωματίας.,Γ2 exam
παρουσίαση,презентация,presentation,Η παρουσίαση του νέου αναπτυξιακού σχεδίου έγινε στο Μέγαρο Μαξίμου.,17 Mar
προκύπτω,возникаю / следую,to arise,Από την έρευνα προκύπτει ότι οι μισθοί παραμένουν στάσιμοι εδώ και μια δεκαετία.,12 Dec
υποκύπτω,"поддаваться, уступать",to succumb,Η κυβέρνηση δήλωσε ότι δεν πρόκειται να υποκύψει στις πιέσεις των δανειστών.,28 May
στόχος,цель,"goal, target",Ο στόχος της κλιματικής ουδετερότητας ως το 2050 απαιτεί ριζικές αλλαγές πολιτικής.,16 May
ωφελιμιστικός,утилитарный,utilitarian,Η ωφελιμιστική προσέγγιση της πολιτικής αγνοεί τις ηθικές διαστάσεις του ζητήματος.,22 Dec
άδεια,разрешение / отпуск,"permission, leave",Η χορήγηση άδειας λειτουργίας καθυστερεί λόγω γραφειοκρατικών εμποδίων.,27 Dec
άμεσος,прямой,direct,Η άμεση δημοκρατία της αρχαίας Αθήνας αποτελεί πηγή έμπνευσης για σύγχρονα μοντέλα.,16 May
άπειρο αριθμό,бесконечное число,infinite number,Υπάρχει άπειρος αριθμός παραγόντων που επηρεάζουν την κοινωνική συνοχή.,Γ2 exam
άπλετος,обильный,ample,Η χώρα διαθέτει άπλετο φως και ανανεώσιμες πηγές ενέργειας προς αξιοποίηση.,16 May
άψογος,безупречный,impeccable,"Η διοργάνωση του συνεδρίου ήταν άψογη, σύμφωνα με τους διεθνείς παρατηρητές.",17 Dec
έμμεσος,косвенный,indirect,"Η έμμεση φορολογία πλήττει δυσανάλογα τα χαμηλά εισοδήματα, σύμφωνα με αναλυτές.",16 May
ένα σωρό,"куча, множество",a bunch of,Ένα σωρό ερωτήματα παραμένουν αναπάντητα μετά τη δημοσίευση της ετήσιας έκθεσης.,16 Feb
"Έχει τύχη, είναι τυχερός",везучий,lucky,"Έχει τύχη, είναι τυχερός που βρήκε δουλειά σε τόσο δύσκολη εποχή.",14 Jan
έχω πάθος,у меня страсть,I have a passion,Έχει πάθος για τη δημοσιογραφία και αφιερώνει κάθε ελεύθερη στιγμή στην έρευνα.,10 Jan
Ήταν αναμενόμενη εξέλιξη.,Это было ожидаемое развитие.,It was an expected development.,"Ήταν αναμενόμενη εξέλιξη, δήλωσε ο αναλυτής σχολιάζοντας την παραίτηση.",Фразы уровня Γ2
ίσαμε,до / вплоть до,until / up to,Η συζήτηση κράτησε ίσαμε τα μεσάνυχτα χωρίς να καταλήξουν σε συμφωνία.,18 Mar — Prepositions
αδέξιος σε…,неуклюжий в…,clumsy in,Η κυβέρνηση αποδείχθηκε αδέξια στη διαχείριση της επικοινωνιακής κρίσης.,5 Dec
ακαδημαϊκές απαιτήσεις,академические требования,academic demands,"Οι ακαδημαϊκές απαιτήσεις αυξάνονται, ενώ η χρηματοδότηση των πανεπιστημίων μειώνεται.",Ιστορία 17
ακλόνητος,непоколебимый,unshakable / stable,Η ακλόνητη στάση της κυβέρνησης στο θέμα των συνόρων κέρδισε διεθνή αναγνώριση.,31 Mar
ακρογωνιαίος λίθος,краеугольный камень,cornerstone,Η παιδεία αποτελεί τον ακρογωνιαίο λίθο κάθε δημοκρατικής κοινωνίας.,27 Mar
ακόμα κι αν,даже если,even if,"Ακόμα κι αν οι διαπραγματεύσεις αποτύχουν, η διπλωματία παραμένει η μόνη λύση.",19 May
ανάγω κάτι σε κάτι,сводить что-то к чему-то,reduce / trace to,Δεν μπορούμε να ανάγουμε τα κοινωνικά προβλήματα αποκλειστικά σε οικονομικά αίτια.,12 Dec
αναζωογονώ,оживлять / освежать,to refresh / revitalize,Το νέο πρόγραμμα αναζωογονεί τις τοπικές κοινότητες μέσω πολιτιστικών δράσεων.,21 Mar
ανανεώνω,обновлять,to renew,Η ανάγκη να ανανεώσουμε τους θεσμούς γίνεται ολοένα πιο επιτακτική.,21 Mar
ανεβάζω τον πήχη,поднимать планку,raise the bar,Η ΕΕ ανεβάζει τον πήχη στις απαιτήσεις περιβαλλοντικής συμμόρφωσης των βιομηχανιών.,27 Mar
ανθρώπινη υπόσταση,человеческая сущность,human existence,Η τέχνη αναδεικνύει πτυχές της ανθρώπινης υπόστασης που συχνά αγνοούμε.,25 Sep
ανθρώπινο ον,человеческое существо,human being,Κάθε ανθρώπινο ον δικαιούται αξιοπρεπείς συνθήκες διαβίωσης και εργασίας.,13 Feb
αντιγραφή,копирование / списывание,copy,Η αντιγραφή στις εξετάσεις αντιμετωπίζεται πλέον με τεχνολογικά μέσα παρακολούθησης.,27 Jan
αντιδρώ,реагирую,to react,Οι πολίτες αντιδρούν έντονα στην αύξηση των τιμών στα βασικά αγαθά.,21 Nov
αντικατοπτρίζω,отражать,to reflect,Τα δημοσκοπικά δεδομένα αντικατοπτρίζουν τη δυσαρέσκεια των πολιτών για τη διαχείριση.,Part 4
αντιφατικός,противоречивый,contradictory,Τα αντιφατικά μηνύματα από τους αρμόδιους δημιουργούν κλίμα αβεβαιότητας στους πολίτες.,27 Mar
αξίζω,стою / заслуживаю,"to be worth, deserve",Η χώρα αξίζει μια πιο δίκαιη θέση στο διεθνές οικονομικό σύστημα.,12 Dec
αποβιώνω,скончаться,to pass away,Ο διακεκριμένος ακαδημαϊκός απεβίωσε σε ηλικία ογδόντα δύο ετών στην Αθήνα.,23 Sep
αποδοχή,принятие,acceptance,Η αποδοχή της πολυπολιτισμικότητας αποτελεί πρόκληση για τη σύγχρονη κοινωνία.,27 Feb
απομένω,остаюсь,stay / remain,Απομένει να φανεί αν οι δεσμεύσεις θα μεταφραστούν σε πράξεις εντός του τρέχοντος έτους.,9 Dec
απορία,"вопрос, недоумение","question, puzzle",Η απορία των πολιτών σχετικά με τις αυξήσεις παραμένει αναπάντητη.,22 Oct
Απορρόφηση,"поглощение, абсорбция",absorption,Η απορρόφηση ευρωπαϊκών κονδυλίων αποτελεί δείκτη διοικητικής ικανότητας μιας χώρας.,Γ2 exam
απραγμοτοποίητα όνειρα,неосуществлённые мечты,unfulfilled dreams,Τα απραγματοποίητα όνειρα μιας ολόκληρης γενιάς αποτυπώνονται στο νέο ντοκιμαντέρ.,Γ2 exam
απωθητικός,отталкивающий,repellent,Η απωθητική ρητορική ορισμένων πολιτικών αποξενώνει τους ψηφοφόρους.,28 May
απόλυτα,абсолютно,absolutely,Η πρόταση τυγχάνει απόλυτα θετικής υποδοχής από τους κοινωνικούς εταίρους.,6 Jan
απόπειρα / αποπειρώμαι,попытка / пытаться,attempt / to attempt,Η απόπειρα μεταρρύθμισης του εκλογικού νόμου απέτυχε λόγω έλλειψης πλειοψηφίας.,17 Mar
απόρθητος,неприступный,impregnable,"Η Μονεμβασιά, ο απόρθητος βράχος της Λακωνίας, αντιστάθηκε σε πολυάριθμες πολιορκίες.",6 Jan
αρμός,шов / стык,joint (connection),"Ο σεισμός αποκάλυψε τους αρμούς στη θεμελίωση του κτιρίου, θέτοντας ζητήματα ασφαλείας.",6 Jan
ασκεί,оказывает / практикует,exerts / practices,Η κυβέρνηση ασκεί πίεση στους θεσμούς για ταχύτερη εφαρμογή των μεταρρυθμίσεων.,Γ2 exam
αυστηρή εξειδίκευση,узкая специализация,strict specialization,Η αυστηρή εξειδίκευση περιορίζει τις επαγγελματικές προοπτικές στη σύγχρονη αγορά.,5 Dec
βασιλικός,королевский,royal,Το βασιλικό κτήμα στο Τατόι αποτελεί αντικείμενο πολιτικής αντιπαράθεσης εδώ και δεκαετίες.,21 Nov
βομβαρδίζομαι με,быть засыпанным,to be bombarded with,Οι καταναλωτές βομβαρδίζονται με διαφημιστικά μηνύματα καθημερινά στα μέσα κοινωνικής δικτύωσης.,28 May
βυθισμένος,погружённый,immersed,Ο πληθυσμός παραμένει βυθισμένος στην αβεβαιότητα για το μέλλον της οικονομίας.,Ιστορία 28
γνήσιος,подлинный / настоящий,genuine / authentic,Η γνήσια δημοκρατία απαιτεί ενεργή συμμετοχή των πολιτών στα κοινά.,Ιστορία 19
δίχως / χωρίς,без,without,"Δίχως ουσιαστικό διάλογο, η κοινωνική συνοχή κινδυνεύει να διαρραγεί.",18 Mar — Prepositions
δεσμεύομαι,обязываться,to commit,Ο πρωθυπουργός δεσμεύτηκε να μειώσει τη φορολογία για τα χαμηλά εισοδήματα.,31 Mar
δημοφιλής,популярный,popular,Η πλατφόρμα έγινε εξαιρετικά δημοφιλής μεταξύ των νέων χρηστών στην Ελλάδα.,14 Jan
διάχυτος,повсеместный,pervasive,Η ανησυχία για την ενεργειακή κρίση είναι διάχυτη σε ολόκληρη την Ευρώπη.,22 Dec
διαιωνίζω,увековечивать,perpetuate,Τα στερεότυπα διαιωνίζουν κοινωνικές ανισότητες που θα μπορούσαν να εξαλειφθούν.,27 Jan
διαφωνία,разногласие,disagreement,Η διαφωνία μεταξύ των κομμάτων για το ασφαλιστικό εντείνεται ενόψει εκλογών.,Ιστορία 45
διεγείρουν,"стимулируют, возбуждают",stimulate,Οι πρόσφατες εξελίξεις διεγείρουν το ενδιαφέρον της κοινής γνώμης για τη μεταρρύθμιση του συστήματος υγείας.,Γ2 exam
διχόνοια,раздор,discord,"Η πολιτική διχόνοια απειλεί να υπονομεύσει τις προσπάθειες για εθνική συνεννόηση, σύμφωνα με αναλυτές.",28 May
διόλου,совсем не,not at all,"Η λύση δεν ήταν διόλου εύκολη, αλλά η διαπραγματευτική ομάδα κατάφερε να τη φέρει εις πέρας.",16 Feb
δοκιμασία,испытание,trial / challenge,Η ενεργειακή κρίση αποτελεί σοβαρή δοκιμασία για την ανθεκτικότητα της ευρωπαϊκής οικονομίας.,Ιστορία 19
εάν επιθυμούμε,если мы желаем,if we wish,"Εάν επιθυμούμε βιώσιμη ανάπτυξη, οφείλουμε να επενδύσουμε στην πράσινη ενέργεια άμεσα.",Γ2 exam
είτε… είτε / είτε… ή,или… или,either… or,"Είτε υιοθετήσουμε μεταρρυθμίσεις είτε παραμείνουμε σε αδράνεια, οι συνέπειες θα είναι σημαντικές.",Part 4
ειδικά,особенно,especially,"Ειδικά στον τομέα της εκπαίδευσης, οι ανισότητες παραμένουν έκδηλες και επίμονες.",12 Dec
ειδικός,специалист / специальный,specialist / special,Ειδικός σε θέματα κυβερνοασφάλειας προειδοποίησε για αυξημένο κίνδυνο ψηφιακών επιθέσεων.,13 Jan
ειδικότερη,более конкретная,more specific,Χρειάζεται ειδικότερη ανάλυση των δεδομένων που αφορούν τις νεαρές ηλικιακές ομάδες.,Γ2 exam
εκ των υστέρων,задним числом,after the fact,"Εκ των υστέρων, η απόφαση αποδείχθηκε σωστή, αν και αμφισβητήθηκε σφοδρά αρχικά.",16 May
εκπροσωπείται,представлен,is represented,Η Ελλάδα εκπροσωπείται στο συνέδριο από κορυφαίους ακαδημαϊκούς και ερευνητές του τομέα.,Γ2 exam
εκρήγνυμαι / εξερράγην,взрываться,to explode,Η κοινωνική δυσαρέσκεια εξερράγη σε μαζικές διαδηλώσεις στο κέντρο της πρωτεύουσας.,17 Mar
εν έτει,в году,in the year,"Εν έτει 2026, η χώρα αντιμετωπίζει προκλήσεις που απαιτούν τολμηρές πολιτικές αποφάσεις.",7 Oct
εν τέλει,в конечном итоге,ultimately,"Εν τέλει, η κυβέρνηση αναγκάστηκε να αποσύρει το αμφιλεγόμενο νομοσχέδιο μετά τις αντιδράσεις.",12 Dec
ενδεχομένως,возможно,possibly / probably,Η Τράπεζα ενδεχομένως να προχωρήσει σε νέα μείωση επιτοκίων εντός του επόμενου τριμήνου.,25 Feb
εντός,внутри,within / inside,"Η συμφωνία αναμένεται να οριστικοποιηθεί εντός των προσεχών εβδομάδων, δήλωσε ο εκπρόσωπος.",18 Mar — Prepositions
εξηδανικεύεται,идеализируется,is idealized,Η εποχή της Αρχαίας Ελλάδας συχνά εξιδανικεύεται χωρίς αντικειμενική κριτική ανάλυση.,Γ2 exam
εξοικειώνομαι,осваиваться,to be familiar,Οι μαθητές εξοικειώνονται με τις νέες τεχνολογίες μέσω διαδραστικών εκπαιδευτικών προγραμμάτων.,16 May
εξοφλώ / εξόφλησα,оплачивать / погашать,to pay off,"Η χώρα εξόφλησε πρόωρα μέρος του δανείου, ενισχύοντας την αξιοπιστία της στις αγορές.",17 Mar
επηρεάζω,влияю,to influence,Οι γεωπολιτικές εντάσεις επηρεάζουν σημαντικά τις τιμές ενέργειας σε ολόκληρη την Ευρώπη.,20 Dec
επιμονή,настойчивость,persistence,"Με επιμονή και στρατηγικό σχεδιασμό, η εταιρεία κατάφερε να ανακτήσει το μερίδιό της στην αγορά.",Ιστορία 30
επιρρεπής,склонный,prone,Οι παράκτιες περιοχές είναι ιδιαίτερα επιρρεπείς σε ακραία καιρικά φαινόμενα λόγω κλιματικής αλλαγής.,13 May
εποπτεία,надзор,supervision,Η ενίσχυση της εποπτείας στον τραπεζικό τομέα κρίνεται αναγκαία μετά τα πρόσφατα σκάνδαλα.,7 Oct
εσπευσμένος,поспешный,hasty,Η εσπευσμένη έγκριση του νομοσχεδίου προκάλεσε σφοδρές αντιδράσεις από την αντιπολίτευση.,27 Jan
εστιάζουν,"фокусируются, сосредоточиваются",they focus,Οι αναλυτές εστιάζουν στις επιπτώσεις της τεχνητής νοημοσύνης στην αγορά εργασίας.,Γ2 exam
ευαλωτότητα,уязвимость,vulnerability,Η οικονομική ευαλωτότητα των νοικοκυριών αυξήθηκε δραματικά λόγω του πληθωρισμού.,Ιστορία 19
ευημερώ,процветаю,to thrive,Ο κλάδος της τεχνολογίας συνεχίζει να ευημερεί παρά τις παγκόσμιες οικονομικές αναταράξεις.,9 Jan
ευπρόσδεκτος,желанный / добро пожаловать,welcome,Κάθε πρωτοβουλία για τη μείωση της γραφειοκρατίας είναι ευπρόσδεκτη από τους πολίτες.,9 Jan
ευσταθής,устойчивый,stable,"Η μακροοικονομική κατάσταση παραμένει ευσταθής, σύμφωνα με την τελευταία έκθεση της τράπεζας.",19 Aug
εφ' όρου ζωής,пожизненно,for life,Η εφ' όρου ζωής μάθηση αποτελεί προϋπόθεση επαγγελματικής ανταγωνιστικότητας στη σύγχρονη αγορά.,27 Jan
η έκρηξη,взрыв,explosion,Η έκρηξη στο εργοστάσιο προκάλεσε οικολογική καταστροφή σε ακτίνα δέκα χιλιομέτρων.,16 Feb
η αντίληψη,восприятие,perception,Η κοινή αντίληψη ότι η ανάπτυξη ωφελεί αυτόματα όλους αμφισβητείται από τα δεδομένα.,12 Dec
η αντίφαση,противоречие,contradiction,Η αντίφαση μεταξύ λόγων και πράξεων της κυβέρνησης δεν πέρασε απαρατήρητη από τα μέσα.,23 Sep
Η πραγματικότητα είναι πιο σύνθετη.,Реальность более сложна.,Reality is more complex.,"Η πραγματικότητα είναι πιο σύνθετη από ό,τι υποδεικνύουν οι απλουστευτικές αναλύσεις.",Фразы уровня Γ2
η πρόοδος,прогресс,progress,"Η πρόοδος στις διαπραγματεύσεις είναι αργή αλλά σταθερή, τόνισε ο διαμεσολαβητής.",17 Dec
θέτω ρεαλιστικούς στόχους,ставить реалистичные цели,set realistic goals,Οφείλουμε να θέτουμε ρεαλιστικούς στόχους για τη μετάβαση στην πράσινη οικονομία.,Ιστορία 38
θολός,мутный / неясный,muddy / unclear,Το τοπίο στις διεθνείς σχέσεις παραμένει θολό μετά τις τελευταίες διπλωματικές εξελίξεις.,18 Mar
θράσος,наглость,audacity (negative),Το θράσος ορισμένων αξιωματούχων που αρνούνται κάθε ευθύνη προκαλεί αγανάκτηση στους πολίτες.,13 May
θυμίσετε,напомните,remind,"Θυμίσετε ότι η προθεσμία υποβολής αιτήσεων λήγει στο τέλος του μήνα, υπογράμμισε ο υπουργός.",Γ2 exam
κάτι δεν κολλάει / Δεν κολλάει.,что-то не сходится / это не вяжется,something doesn't add up,Κάτι δεν κολλάει στα επίσημα στοιχεία που παρουσίασε η εταιρεία στους μετόχους.,5 Mar — история о взломе
καλοδεχούμενος,"желанный, приветствуемый",welcome,Ο νέος θεσμός είναι καλοδεχούμενος από την ακαδημαϊκή κοινότητα ως βήμα εκσυγχρονισμού.,Part 4 — καλός
καλοπροαίρετα,с добрыми намерениями,with good intentions,Ακόμη και καλοπροαίρετα σχόλια μπορούν να παρερμηνευτούν στο πλαίσιο πολιτικής αντιπαράθεσης.,Part 4 — καλός
καλοστημένη,хорошо спланированная,well-planned,Οι αρχές εξάρθρωσαν μια καλοστημένη απάτη που είχε αποφέρει εκατομμύρια στους δράστες.,5 Mar — история о взломе
κανονικοποιώ,нормализовать,normalize,"Τα μέσα ενημέρωσης κανονικοποιούν συχνά ακραίες απόψεις, προειδοποιούν κοινωνιολόγοι.",13 May
κηρύττω,"объявлять, провозглашать",to declare,Ο Πρόεδρος κηρύσσει την έναρξη του Εθνικού Διαλόγου για τη Συνταγματική Αναθεώρηση.,12 Dec
κληρονομώ,наследовать,to inherit,Η νέα γενιά κληρονομεί τις συνέπειες πολιτικών αποφάσεων που ελήφθησαν πριν από δεκαετίες.,9 May
κλονίζω,сотрясать / дестабилизировать,to shake / destabilize,Τα διαδοχικά σκάνδαλα κλονίζουν την εμπιστοσύνη των πολιτών στους θεσμούς της δημοκρατίας.,31 Mar
κομματιάζω,разрезать на куски,to cut into pieces,Η αποβιομηχάνιση κομμάτιασε τον κοινωνικό ιστό περιοχών που βασίζονταν στη βιομηχανία.,16 Feb
κραυγαλέος,вопиющий,"blatant, glaring",Η κραυγαλέα αδικία στη διανομή του εμβολίου προκάλεσε διεθνείς αντιδράσεις.,16 Sep
κρύβω,прячу,to hide,Πίσω από τα αισιόδοξα στοιχεία κρύβονται σοβαρές διαρθρωτικές αδυναμίες της οικονομίας.,26 Dec
κυκλοφορούσε πεζός,ходил пешком,was moving on foot,Ο πρωθυπουργός κυκλοφορούσε πεζός στο κέντρο της Αθήνας χωρίς συνοδεία ασφαλείας.,5 Mar — история о взломе
λήγω,истекать,to expire,"Η προθεσμία για την υποβολή φορολογικών δηλώσεων λήγει στις 30 Ιουνίου, ανακοίνωσε η ΑΑΔΕ.",10 Mar
μάλλον,скорее всего,probably,Η ανάκαμψη μάλλον θα καθυστερήσει λόγω των νέων γεωπολιτικών εξελίξεων στην περιοχή.,12 Dec
μέχρι,до,until / up to,Μέχρι τα τέλη του χρόνου αναμένεται να ολοκληρωθεί η ψηφιοποίηση του δημόσιου τομέα.,18 Mar — Prepositions
μήτε,ни,neither,Μήτε η κυβέρνηση μήτε η αντιπολίτευση κατάφεραν να πείσουν τους πολίτες για τη μεταρρύθμιση.,Γ2 exam
με αφορά,меня касается,it concerns me,"Η κλιματική κρίση με αφορά προσωπικά, δηλώνει η νεαρή ακτιβίστρια στο βήμα του ΟΗΕ.",16 May
με αφορμή,"по случаю, по поводу",on the occasion of,"Με αφορμή τη Διεθνή Ημέρα Γυναίκας, πραγματοποιήθηκαν εκδηλώσεις σε όλη τη χώρα.",Γ2 exam
με βάση,на основе,based on,"Με βάση τα τελευταία δημοσκοπικά δεδομένα, η ψαλίδα μεταξύ των κομμάτων μειώνεται σταθερά.",Γ2 exam
με την πρώτη ματιά,с первого взгляда,at first glance,"Με την πρώτη ματιά, τα οικονομικά στοιχεία φαίνονται ενθαρρυντικά αλλά χρήζουν ανάλυσης.",3 Feb
μεν... δε,с одной стороны... с другой,on one hand... on the other,"Η κυβέρνηση μεν αναγνωρίζει το πρόβλημα, δε αρνείται να λάβει ουσιαστικά μέτρα.",7 Oct
μια φευγαλέα ματιά,мимолётный взгляд,a fleeting glance,Μια φευγαλέα ματιά στα στοιχεία αρκεί για να αποκαλύψει το μέγεθος του προβλήματος.,Γ2 exam
μικρής εμβέλειας,малого радиуса действия,short-range,Τα μέτρα μικρής εμβέλειας δεν επαρκούν για την αντιμετώπιση μιας δομικής κρίσης.,Γ2 exam
μιμηθούν,подражать,imitate,Πολλές ευρωπαϊκές χώρες επιχειρούν να μιμηθούν το σκανδιναβικό κοινωνικό μοντέλο.,Γ2 exam
μοιάζω,похожу / напоминаю,to resemble,"Η σημερινή κρίση μοιάζει με εκείνη του 2008, αλλά οι αιτίες είναι διαφορετικές.",26 Dec
μονομερής,односторонний,unilateral,Η μονομερής απόφαση της Άγκυρας προκάλεσε αντιδράσεις από τους ευρωπαίους εταίρους.,9 Jan
μπαίνω μέσα,захожу внутрь,I go inside,"Όταν μπαίνεις μέσα στο νέο μουσείο, αντιλαμβάνεσαι αμέσως το μέγεθος του έργου.",14 Jan
μόλις,только что / как только,"just, as soon as","Μόλις ανακοινώθηκαν τα αποτελέσματα, ξεκίνησε η ανάλυσή τους από τους ειδικούς.",20 Dec
μόνιμα,постоянно,permanently,"Χιλιάδες νέοι εγκαθίστανται μόνιμα στο εξωτερικό, αναζητώντας καλύτερες επαγγελματικές ευκαιρίες.",31 Oct
να κοπιάσουν,"потрудиться, приложить усилия",to make an effort,Οι νέοι πρέπει να κοπιάσουν σε ένα ολοένα πιο ανταγωνιστικό εργασιακό περιβάλλον.,Γ2 exam
ξεδιπλώνεται,"разворачивается, раскрывается","unfolds, is revealed",Η στρατηγική της κυβέρνησης ξεδιπλώνεται σταδιακά μέσα από μια σειρά νομοθετικών πρωτοβουλιών.,Γ2 exam
ξενιτιά,чужбина,foreign land / exile,Η ξενιτιά εξακολουθεί να αποτελεί βασική επιλογή για τους νέους επιστήμονες της χώρας.,Ιστορία 22
ο ένας τον άλλον,друг друга,each other,Τα κόμματα κατηγορούν ο ένας τον άλλον για την αποτυχία στις διαπραγματεύσεις.,20 Dec
ο ήχος,звук,sound,"Ο ήχος των διαμαρτυριών φτάνει ως τα γραφεία του Μεγάρου Μαξίμου, σημείωσε ο αρθρογράφος.",17 Feb
ο πανταχού παρών,вездесущий,the omnipresent,Ο πανταχού παρών ψηφιακός κόσμος αλλάζει τη φύση των κοινωνικών αλληλεπιδράσεων.,Γ2 exam
ο παράγων,фактор / определяющий,factor / determinant,"Ο παράγων χρόνος είναι καθοριστικός στη διαχείριση της κλιματικής κρίσης, τονίζουν οι ειδικοί.",7 Mar
ο φιλοξενούμενος,гость,guest,Ο φιλοξενούμενος καθηγητής παρουσίασε τα ευρήματα της έρευνάς του στο διεθνές συνέδριο.,17 Feb
ομαλός,гладкий / ровный,smooth / even,Η ομαλή μετάβαση στο νέο σύστημα εξαρτάται από τη σωστή εκπαίδευση των εργαζομένων.,3 Mar
ομόνοια,"согласие, единство","harmony, unity",Η ομόνοια μεταξύ των πολιτικών δυνάμεων είναι απαραίτητη για την αντιμετώπιση της κρίσης.,28 May
ον (τα όντα),существо,being,Ο φιλόσοφος αναρωτιέται τι σημαίνει να είναι κανείς ον σε έναν κόσμο τεχνητής νοημοσύνης.,13 Feb
οπισθοδρόμηση,регресс / откат,regression / setback,Η κατάργηση του μέτρου θα σήμαινε οπισθοδρόμηση στα δικαιώματα των εργαζομένων.,3 Mar
οπότε,итак / значит,"so, then","Τα αποθέματα εξαντλούνται ραγδαία, οπότε απαιτούνται άμεσες ενέργειες ανεφοδιασμού.",10 Jan
ουδείς,никто,no one,Ουδείς μπορεί να αμφισβητήσει τη σημασία της παιδείας για τη δημοκρατική λειτουργία.,6 May
πάντως,во всяком случае,anyway,"Πάντως, οι οικονομικοί δείκτες δεν επιβεβαιώνουν την αισιοδοξία της κυβέρνησης.",12 Dec
πέφτω στα βαθιά,нырять в глубину,dive deep,Ο νέος υπουργός έπεσε στα βαθιά αναλαμβάνοντας ένα υπουργείο σε πλήρη κρίση.,27 Jan
πήγα να πέσω,чуть не упал,almost fell,Ο δείκτης του χρηματιστηρίου πήγε να πέσει αλλά ανέκαμψε στο τέλος της συνεδρίασης.,30 Sep
πήχης,планка / уровень,bar / level,Η κυβέρνηση έβαλε τον πήχη ψηλά δεσμευόμενη για μείωση της ανεργίας κατά τρεις μονάδες.,27 Mar
παράταιρη,неуместная,out of place,Η παράταιρη δήλωση του υπουργού προκάλεσε αμηχανία στο εσωτερικό του κόμματος.,5 Mar — история о взломе
πείσμα,упрямство,stubbornness,"Με πείσμα και αποφασιστικότητα, η τοπική κοινότητα ανέστησε το κατεστραμμένο χωριό.",Γ2 exam
πεδιάδα,равнина,plain,Η πεδιάδα της Θεσσαλίας αντιμετωπίζει σοβαρά προβλήματα λειψυδρίας μετά τις πλημμύρες.,23 Sep
περαιτέρω,дальнейший,further,Οι ερευνητές τονίζουν την ανάγκη για περαιτέρω μελέτη των μακροπρόθεσμων επιπτώσεων.,31 Mar
ποικίλλω,варьироваться,to vary,Οι απόψεις των ειδικών ποικίλλουν σημαντικά ως προς τις μεθόδους αντιμετώπισης της κρίσης.,19 May
ποιοτικός,качественный,qualitative,Η ποιοτική αναβάθμιση της δημόσιας εκπαίδευσης παραμένει ζητούμενο εδώ και δεκαετίες.,12 May
πολυτελής,роскошный,luxurious,"Ο πολυτελής τουρισμός αυξάνεται στα ελληνικά νησιά, προσελκύοντας επώνυμους επισκέπτες.",27 Mar
ποσοτικός,количественный,quantitative,Η ποσοτική ανάλυση των δεδομένων αποκάλυψε σημαντικές αποκλίσεις από τις αρχικές προβλέψεις.,12 May
πρεσβεύω,"отстаивать, выступать за","to advocate, stand for",Η οργάνωση πρεσβεύει τις αξίες της βιώσιμης ανάπτυξης και της κοινωνικής δικαιοσύνης.,16 Feb
προέλευση,происхождение,origin,"Η προέλευση των κεφαλαίων παραμένει αδιευκρίνιστη, σύμφωνα με την εισαγγελική αρχή.",13 May
προτεραιοποίηση,расстановка приоритетов,prioritization,Η προτεραιοποίηση των δημόσιων δαπανών αποτελεί κλειδί για τη δημοσιονομική σταθερότητα.,Ιστορία 43
προτού,прежде чем,before,"Προτού ληφθεί οποιαδήποτε απόφαση, πρέπει να ακουστούν όλες οι ενδιαφερόμενες πλευρές.",30 Sep
πρόσβαση,доступ,access,Η πρόσβαση στη δημόσια πληροφορία αποτελεί προϋπόθεση για τη λογοδοσία της εξουσίας.,Part 4
πυροδοτούν,поджигают / провоцируют,ignite / trigger,Οι δηλώσεις αξιωματούχων πυροδοτούν νέο κύκλο αντιπαράθεσης στο πολιτικό σκηνικό.,Γ2 exam
πόθος,страсть / желание,desire,Ο πόθος για ελευθερία τροφοδότησε τους αγώνες ανεξαρτησίας σε ολόκληρα τα Βαλκάνια.,6 Jan
ρευστό,"текучий, неопределённый",fluid / uncertain,Το πολιτικό τοπίο παραμένει ρευστό εν αναμονή των εξελίξεων στο ευρωπαϊκό πεδίο.,Γ2 exam
ριζικός,радикальный,radical,Ο ριζικός μετασχηματισμός του ενεργειακού μοντέλου απαιτεί γενναίες επενδύσεις και πολιτική βούληση.,31 Mar
σαχλός,глупый / пошлый,silly,Οι κριτικοί χαρακτήρισαν σαχλή τη νέα διαφημιστική καμπάνια που στοίχισε εκατομμύρια.,17 Dec
σε πρώτο πλάνο,на переднем плане,in the foreground,Η κλιματική αλλαγή τίθεται σε πρώτο πλάνο στην ατζέντα της παγκόσμιας διπλωματίας.,27 Mar
